sentence,paraphrased,label
"Creating innovative products from responsibly sourced, renewable resources.",developing cutting-edge products using renewable resources that have been sourced ethically.,NC
We do not experience significant seasonal variations in employment.,There are no noticeable seasonal differences in our workforce.,HC
"At Huntington, we are committed to acting with uncompromising integrity in all that we do.","At Huntington, we are dedicated to conducting ourselves with unwavering integrity in everything we do.",BE
Climate change is a serious issue that deserves a proactive response from Huntington .,Huntington should take proactive measures to address the major problem of climate change.,CC
We are committed to respecting customer privacy and using the information they share responsibly.,We pledge to uphold client privacy and appropriately handle whatever information they entrust us with.,PL
"Amy H. Nelson was appointed to the Board of Directors on February 5, 2014.","On February 5, 2014, Amy H. Nelson was added to the board of directors.",CG
"Our products are designed for a long lifetime of use, reuse and recycling.","Our items are made to last a very long time and may be recycled, reused, and used again.",PW
Apple buildings worldwide are LEED or BREEAM certified for environmental performance.,"For environmental performance, Apple buildings throughout the world have earned LEED or BREEAM certification.",CC
"Southwest has more than 1 ,500 cleanerburning pieces of GSE .","More than 1,500 cleaner-burning GSE are available from Southwest.",CC
Career development starts with our employees.,Our employees are where career development begins.,HC
Arista have not levied any fines or sanctions falling above this threshold.,Arista has not imposed any penalties or fines that go over this limi,BE
Reported GHG is in tCO2e instead of tCO2.,"Instead of tCO2, reported GHG is in tCO2e.",CC
We’ve been actively working on safer products since the late 1990s.,"Since the late 1990s, we have been actively working on safer products.",PL
Also included in Access Services revenue is Nasdaq Tools and Nasdaq Workstation Weblink.,Nasdaq Tools and Nasdaq Workstation Weblink revenue are also included in Access Services revenue.,N
Huntington is keenly aware of our exposure to carbon-intensive sectors.,Huntington is well aware of its exposure to industries with high carbon footprints.,CC
Water Focus on water quality and hydration.,Water Put an emphasis on hydration and water quality.,NC
Audit Committee--The Committee met four times in 1999.,The Audit Committee held four meetings in 1999.,CG
AFUDC increased $5 million for 2016 compared with 2015.,AFUDC increased by $5 million from 2015 to 2016 in that year.,N
Goodwill is reviewed for impairment on an annual basis or as circumstances warrant.,"Annually or as needed by the situation, goodwill is assessed for impairment.",N
We’ve decreased carbon emissions per product every year since 2011.,"Since 2011, we've reduced carbon emissions per product every year.",CC
"As a result, open-loop recycling came in 0.8% under target.","As a result, open-loop recycling fell 0.8% short of the desired level.",PW
The Safety and Compliance Oversight Committee held nine meetings during 2012.,"In 2012, the Safety and Compliance Oversight Committee met nine times.",CG
"Following seasonal trends, average daily share volume decreased in the summer of 2003.","The average daily share volume fell in the summer of 2003, in line with seasonal norms.",N
"Ms. Kennard currently serves on only two public company boards, including our Board.","Only two boards of publicly traded companies now have Ms. Kennard on them, including our Board.",CG
The Company has assumed that the expected long-term rate of return on plan assets will be 8.00%.,The company has predicted that the plan's assets will earn an expected long-term rate of return of 8.00%.,N
"Therefore, it is not possible to independently verify all Company political giving.","Since all Company political donations cannot be independently verified, this is not practicable.",BE
Our product’s carbon footprint per unit has fluctuated between FY15 and FY19.,"Between FY15 and FY19, our product's carbon impact per unit varied.",CC
"When there is not an existing alternative to a chemical we’ve determined harmful, we innovate.","When a substance that we have deemed dangerous lacks an existing substitute, we develop one.",PL
Increase commitment to funding programs and education for Black and African Americans by 30%.,Increase by 30% the commitment to sponsoring initiatives and educational opportunities for Black and African Americans.,CR
The fiber loss percentage in manufacturing units in 2018 was 0.7498%.,"In manufacturing facilities in 2018, the fiber loss percentage was 0.7498%.",PW
SFAS 158 did not affect our results of operations or cash flows.,Our operating or cash flow results were unaffected by SFAS 158.,N
This policy is included in our Business Conduct and Ethics Code.,Our Business Conduct and Ethics Code contains a reference to this policy.,BE
"From 2002-2007, the Committee used Deloitte Consulting LLP as its compensation consultant.",The Committee employed Deloitte Consulting LLP as its compensation advisor from 2002 to 2007.,CG
"In the U.S., we’ve increased our focus on buying products from local suppliers and farmers .","In the United States, we now place more emphasis on purchasing goods from regional producers and suppliers.",CR
"Safeguard privacy and personal data of customers, employees, and business partners.","Protect the privacy and personal information of clients, staff, and business partners.",PL
"In 2016, we hired 182 new employees.",We added 182 new employees in 2016.,HC
Agilent is unaware of any complaints regarding breaches of customer privacy and loss of data.,Agilent is not aware of any complaints about data loss or privacy violations involving customers.,PL
Some involve claims for substantial amounts of money and/or claims for punitive damages.,Some of them entail claims for large financial compensation and/or punitive damages.,N
"We note, too, that shareholders voted against the advisory vote on executive compensation in 2019.","Additionally, we observe that shareholders rejected the executive compensation advisory vote in 2019.",CG
The election of directors need not be by written ballot.,Directors may be chosen without using a written ballot.,CG
"ChevronTexaco employees and their families receive high-quality, comprehensive health care.",Health care for ChevronTexaco personnel and their families is of the highest caliber.,HC
The percentage of IPG employees covered by collective bargaining is zero – 0 percent.,There are nil to zero percent IPG employees who are subject to collective bargaining.,HC
We also support WWF’s initiative to advance the concept of science-based targets for forests.,We also support WWF's effort to advance the idea of scientifically based forest targets.,NC
Violations of these rules will subject us to significant penalties.,"If we break these restrictions, we'll be hit with heavy fines.",BE
The Compensation Committee also terminated its engagement of Mercer.,"Additionally, the Compensation Committee ended its contract with Mercer.",CG
Both of these segments delivered double digit operating margins in the fourth quarter of 2012.,"In the fourth quarter of 2012, both of these segments produced operating margins in the double digits.",N
A new Sysco app provides real-time alerts in the event of a recall or food safety issue.,Real-time alerts are provided by a new Sysco app in the case of a recall or problem with food safety.,PL
The Committee met three times during 2003.,"In 2003, the Committee convened three times.",CG
"International revenue, which represented 44% of revenue in 2002, decreased $197.1 or 6.8% from 2001.","International revenue, which accounted for 44% of total revenue in 2002, fell by $197.1 or 6.8% from the previous year.",N
See the Improving Fuel Economy section of the Sustainability Report 2020.,See the Sustainability Report 2020's section on enhancing fuel economy.,CC
Waste from electronic products (e-waste) poses a global threat to soil and water quality.,Water and soil quality around the world are threatened by electronic trash (e-waste).,PW
"Since 2008, Huntington Home Savers has helped more than 25,000 customers avoid foreclosure.","Huntington Home Savers has assisted more than 25,000 clients in avoiding foreclosure since 2008.",PL
The following efforts highlighted our community support work in 2020.,The following initiatives showcased our 2020 community support work.,CR
"In 2014, we did not make any contributions to political candidates.",We did not donate to any political candidates in 2014.,BE
The Committee Chairman reports on Committee actions and recommendations at Board meetings.,"At board meetings, the committee chairman presents an update on the committee's recommendations and actions.",CG
Our talent philosophy is simple – we invest in associates .,Our investment in associates is the cornerstone of our talent concept.,HC
Atmos Energy donated $1.5 million to quickly stock the shelves at local foodbanks .,"To help local foodbanks swiftly restock their shelves, Atmos Energy donated $1.5 million.",CR
Educational outreach efforts can help keep our customers and communities safe in case of emergency.,Outreach programs aimed at educating the public can contribute to the safety of our clients and the communities we serve.,PL
Our investments also ensure the reliability and security of the grid for customers today.,Our investments also guarantee the grid's dependability and security for customers right now.,PL
"As a result, we have chosen to not invest in expanding our merchant services business.","As a result, we have decided against making investments to grow our merchant services company.",N
Agilent is unaware of any complaints regarding breaches of customer privacy or loss of data.,Agilent is not aware of any complaints about data loss or privacy violations involving customers.,PL
Promote the use o f sustainability metrics in industry sourcing .,Encourage the use of sustainability metrics in procurement for industry.,NC
Reviews affiliations of directors and director candidates for possible conflicts of interest.,investigates potential conflicts of interest in the affiliations of directors and director candidates.,BE
We capitalized Arcata National Insurance Ltd. in accordance with regulatory requirements.,"As required by regulations, we capitalized Arcata National Insurance Ltd.",N
Employees donated essential tools and resources to benefit the young students.,The young students benefited from the employees' donations of necessary equipment and supplies.,CR
We also operate our plants efficiently using captured waste heat.,We utilize captured waste heat to efficiently run our facilities.,CC
We want our employees to be as proud of Olin as we are of them.,We want the people who work for Olin to share our pride in them.,HC
This Code supplements our business conduct policy.,This Code is an addition to our code of conduct for employees.,BE
Prologis employees made blood donations which supported local medical systems.,"Employees of Prologis donated blood, helping the community's healthcare systems.",CR
The Code of Ethics for Financial Professionals is intended to supplement the Citi Code of Conduct.,The Citi Code of Conduct is meant to be supplemented by the Code of Ethics for Financial Professionals.,BE
These new bags even have a knitted paper handle and contain 80 percent recycled fiber.,These innovative bags comprise 80% recycled fiber and even feature a knitted paper handle.,PW
We work continuously to improve energy efficiency in our facilities and operations.,We constantly strive to make our facilities and operations more energy efficient.,CC
"Our 2014 fiscal year ended on Dec. 28, 2014, and encompassed a 52-week period.","Our 2014 fiscal year, which covered a 52-week period, came to a close on December 28, 2014.",N
"To achieve this , we donate our time, tickets , funds , and , most importantly, our LUV.","We give our time, tickets, money, and most importantly, our LUV to accomplish this.",CR
We use powerful encryption and other security safeguards to protect customer data.,"To protect consumer data, we employ robust encryption and other security measures.",PL
Agilent's CO2 air emissions are associated with indirect sources.,Indirect sources are linked to Agilent's CO2 air emissions.,CC
"Overall, our efforts have prevented 38 million pounds of materials from being sent to landfills.",38 million pounds of material have been saved from landfills as a result of our efforts.,PW
We are making progress in identifying viable replacements for nonrenewable materials.,Finding workable substitutes for nonrenewable resources is progressing.,NC
"For example, Ford spent $3,227,295 on lobbying in California from 2010 2018.","For instance, between 2010 and 2018, Ford spent $3,227,295 on lobbying in California.",BE
We were one of eight banks recognized for outstanding commitment to our communities .,One of eight banks honored for exceptional dedication to local communities was us.,CR
We have reset our waste diversion target to 60% by 2025.,Our new trash diversion goal for 2025 is 60%.,PW
"If requested, employees are expected to participate in an investigation of a report.",Employees are expected to take part in a report investigation if asked.,BE
"Left, KXTV employees volunteer at a Habitat for Humanity Rock the Block event.",Volunteers from KXTV work at a Habitat for Humanity Rock the Block event on the left.,CR
Caterpillar has supported the United Way for more than 60 years through our annual campaign.,"Through our yearly campaign, Caterpillar has contributed to the United Way for more than 60 years.",CR
We will continue to offer good medical benefits that protect our employees’ health and well being.,We will continue to provide our employees with quality medical benefits that safeguard their health and wellbeing.,HC
Safety is a core value and a key priority at Xcel Energy.,"At Xcel Energy, safety is a top priority and a core value.",BE
"Making this change reduced the site’s paper waste by 700 kilograms annually, saving $2,000 in costs.","By making this adjustment, the location reduced its annual paper waste by 700 kg, saving $2,000 in trash disposal fees.",PW
These NOVs can result in fines or penalties.,Penalties or fines may be imposed for these NOVs.,BE
The Audit Committee did not delegate any such pre-approval authority in fiscal 2009.,"In fiscal 2009, the Audit Committee did not grant any such pre-approval authority.",CG
All aluminum beverage can plants have wastewater treatment systems.,All beverage can factories that use aluminum have wastewater treatment facilities.,PW
"Girls Camps are a joint project between Nike and NFL Charities, hosted by college campuses.","Nike and NFL Charities have collaborated to create Girls Camps, which are held on college campuses.",CR
This also created a new source of income in the form of direct payments from sold carbon credits.,Direct payments from sold carbon credits become a new source of income as a result of this.,CC
Green leasing remains an important part of our tenant engagement strategy.,Our tenant engagement approach continues to include green leasing on a significant level.,CC
These amounts are shown by major operating area on pages F-37 and F-38 of this Form 10-K report.,"In this Form 10-K report, pages F-37 and F-38 list these sums by major operational location.",N
The Company will continue to assess the value of all its assets on an on-going basis.,The Company will continue to regularly evaluate the value of all of its assets.,N
Workers must be free to terminate employment at any time upon reasonable notice.,Employees must be allowed to leave their jobs at any time with adequate notice.,HC
Each common share is entitled to one vote on each matter to be voted on at the 2010 Annual Meeting.,"On each issue up for vote at the 2010 Annual Meeting, each Common Share has one vote.",CG
We focus on minimizing the impact our water use has on regions where we operate.,Our main goal is to have as little of an impact as possible on the areas in which we operate.,NC
Our commitment in this area places equal importance on information security and consumer privacy.,Information security and consumer privacy are equally important to us in this regard.,PL
"The products we transport are used every day for clean power generation, heating and industrial use.","Every day, the goods we deliver are used for industrial purposes, heating, and the production of clean energy.",CC
"GRI is a universally applicable, comparable framework that facilitates transparency and accuracy.","GRI is a framework that can be used wherever and is comparable, which promotes accuracy and transparency.",CG
Companies found to be out of compliance can face severe fines or seizure of products.,Businesses who are found to be in violation risk receiving harsh fines or having their items seized.,BE
"The process uses recycled leather scraps from the tannery floor, once destined for landfill.",The procedure makes use of formerly destined for landfill leather scraps from the tannery floor.,PW
"We also continue to use alternative water sources in Texas, Oklahoma and Egypt.","In Texas, Oklahoma, and Egypt, we still use other water sources.",NC
"In total, approximately 230,000 of our natural gas customers were affected in these areas.","A total of 230,000 of our natural gas customers in these areas were impacted.",N
"However, Agilent has still embarked on local water conservation programs at many of our sites.",Agilent has nevertheless started regional water conservation initiatives at many of our locations.,NC
We will install additional energy monitoring devices in our operations going forward.,"Moving forward, we'll add more energy-monitoring equipment to our operations.",CC
Employees calling this hotline can remain anonymous.,Callers to this hotline from employees can remain anonymous.,HC
"Due to monitoring and enhanced resident education, our waste diversion rate reached 13% in 2020.",Our garbage diversion rate increased to 13% in 2020 as a result of monitoring and better resident education.,PW
Our Conduct Risk Framework Ensures Ethical Practices .,Ethical practices are guaranteed by our conduct risk framework.,BE
"In 2001-02, SBC made at least $1,480,645.00 in political contributions.","SBC donated at least $1,480,645.00 to politics in 2001-02.",BE
This proposal does not encompass lobbying spending.,Spending on lobbying is not included in this suggestion.,BE
All employees are required to read and be trained on the code.,Each employee must read the code and receive training on it.,HC
We take our responsibilities for privacy and security of customer data seriously.,We take seriously our obligations to protect customer data privacy and security.,PL
We protect the confidentiality of employee communications on sensitive matters.,Employee communications about delicate topics are kept confidential.,HC
In 2007 AEP’s philanthropic investments totaled $15.6 million.,The entire amount donated to charity by AEP in 2007 was $15.6 million.,CR
The executive committee did not meet during 2008.,"During 2008, the executive committee didn't meet.",CG
"We invest in, develop and use advanced technology to help safeguard information.",We make investments in cutting-edge technology and work to develop and implement it.,PL
Take a look at where we are and what we’re doing to slow down climate change.,Examine our current situation and our efforts to halt climate change.,CC
Our community involvement program is known collectively as 'Agilent Action'.,"Our community engagement initiative is referred to as ""Agilent Action"" as a whole.",CR
"From 2013 to 2019, we reduced our emissions per square foot by 21%.",We made a 21% reduction in emissions per square foot between 2013 and 2019.,CC
We are developing recommendations to strengthen our customer privacy standards accordingly.,"Accordingly, we are creating suggestions to tighten our customer privacy standards.",PL
All donations went to families in need in and around the Reston area.,Every donation was given to needy families in and around the Reston region.,CR
Diversity is also a consideration when seeking candidates for the Board.,"When looking for people to join the Board, diversity is another factor.",CG
This initiative will also drive progress toward our 2025 GHG emissions reduction goal.,"Additionally, this project will help us get closer to our 2025 target for reducing GHG emissions.",CC
"Year-over-year, the U.S. dollar generally depreciated versus local currencies.",The U.S. dollar generally lost value in relation to local currencies year over year.,N
"This data is comparable to Equal Employment Opportunity, or EEO-1, reported data.","Equal Employment Opportunity, or EEO-1, reported statistics can be compared to these numbers.",HC
We continuously monitor anti-corruption legislation and liability risks across the globe.,We always keep an eye on global liability threats and anti-corruption legislation.,BE
We share these safety innovations openly with others in the industry.,We publicly communicate these safety innovations with other business stakeholders.,HC
We’re proud of the strong relationships we’ve built with our unions over the years.,We take great pride in the solid bonds we've established with our unions throughout the years.,HC
Our coal and natural gas supply chains rely on water to mine the coal and extract the natural gas.,Water is used in our coal and natural gas supply chains to mine coal and extract natural gas.,NC
"More than 100,000 people in Aceh have been helped by the company’s efforts.","The company's efforts have benefited more than 100,000 Acehnese.",CR
Suppliers are required to submit an annual Conflict Minerals Reporting Template (CMRT) to Ford.,Ford requests an annual Conflict Minerals Reporting Template (CMRT) from suppliers.,NC
"For example, we participate annually in the CDP Water Survey.","For instance, each year, we take part in the CDP Water Survey.",NC
The U.S. credit facilities are used to support Apache's commercial paper program.,The commercial paper program for Apache is supported by the American credit facilities.,N
"In 2009, we expanded our discussions to include water risks.",We widened our discussions to cover water risks in 2009.,NC
We have processes and systems to protect privacy while ensuring information security .,We have policies and procedures in place to safeguard information security while preserving privacy.,PL
"Use of land can affect biodiversity, including ecological habitats and species.","Land use has an impact on biological ecosystems, species, and biodiversity.",NC
All employees are expected to comply with these standards.,All workers are required to abide by these guidelines.,HC
Our company supports communities near its operations in a variety of ways.,"In many different ways, our organization helps the local communities where it has operations.",CR
"As of the end of fiscal 2013, each director was in compliance with this stock ownership requirement.","Each Director was in compliance with such stock ownership requirement as of the fiscal year ended December 31, 2013.",CG
A June 1996 Life magazine article (see top page) branded Nike as a child labor company.,Nike was labeled as a child labor employer in a Life magazine article from June 1996 (see top page).,HC
The majority of Southwest’s e-waste stream is repurposed.,The vast majority of Southwest's electronic waste stream is recycled.,PW
The highest level of HSE performance standards are followed for workplace execution.,Workplace execution adheres to the highest degree of HSE performance criteria.,HC
We track water use and savings oppor tunities at our facilities with the AT&T Water Scorecard .,"Using the AT&T Water Scorecard, we monitor water use and cost-saving opportunities at our sites.",NC
"Southwest offers a total of 18 humanitarian flights carrying 1,288 at zero cost to the Passengers.","Southwest provides a total of 18 flights for humanitarian purposes carrying 1,288 passengers at no cost to the passengers.",PL
A primary focus is supporting capacity building for diverse businesses.,Supporting the capacity-building of varied businesses is a main priority.,CR
The $46 million pre-tax charge reduced net income per diluted share by $0.39.,The pre-tax charge of $46 million decreased net income by $0.39 per diluted share.,N
We are actively involved in improving the quality of life in the communities we serve.,"In the communities we serve, we take an active role in enhancing the quality of life.",CR
Named executive officers other than the CEO have no role in setting pay for executive officers.,Executive officers' salaries are not decided by any named executive officers save the CEO.,CG
This helps build local economies and improve livelihoods.,This enhances livelihoods and strengthens local economies.,CR
ChevronTexaco has spent more than US$3 billion on such cleanups since 1980.,"Since 1980, ChevronTexaco has invested more than US$3 billion in these cleanups.",PW
We also recognize diversity as a business imperative and an investment in our future.,We also understand that diversity is both a necessity for business and an investment in the future.,HC
"In 2012, we continued to support our ongoing water conservation projects.",We kept funding our ongoing water conservation efforts in 2012.,NC
Use of recycled materials in the manufacturing and packaging of products.,Utilization of recycled materials in product manufacturing and packaging.,PW
General Mills is also working to build a safer global food system.,The creation of a more secure global food chain is another goal of General Mills.,PL
It’s our responsibility to conserve water and widely promote its stewardship.,It is our duty to encourage water management and conserve it extensively.,NC
A facility fee of 0.125% per annum is payable quarterly in arrears.,A facility fee of 0.125% annually is due in arrears on a quarterly basis.,N
"The Committee then considered and judgmentally adjusted these recommendations, as appropriate.",The Committee then gave these ideas some thought and made any necessary adjustments.,CG
"The goal is to reestablish the natural sagebrush, which is a critical part of the ecosystem.","The native sagebrush, an essential component of the ecosystem, is to be restored.",NC
Subset target: Zero-waste certification for one Humana site TBD.,Subset goal: At least one Humana facility will be certified as zero-waste.,PW
EHS safety councils report to senior management.,EHS safety councils provide upper management with reports.,CG
All twelve of the the current board members attended the 2003 annual meeting of stockholders.,The 2003 annual meeting of stockholders was attended by all twelve members of the present board.,CG
"On the other days, we traveled to remote villages to help in medical clinics.","On the other days, we made trips to isolated towns to assist with medical clinics.",CR
"SSgA also offers exchange traded funds, or ETFs, such as the SPDR® Gold ETF.","Exchange traded funds, or ETFs, are another product line provided by SSgA.",N
Any system breach may go undetected for an extended period of time.,Any system compromise could take a long time to be discovered.,PL
"Our culture is defined by our values of inclusion, integrity, innovation, impact and results.","Our principles of inclusivity, integrity, creativity, influence, and outcomes define our culture.",BE
Twenty-two interns participated in TEGNA’s 2021 summer training and mentorship program.,The summer training and mentoring program for 2021 at TEGNA featured 22 interns.,HC
Community engagement and partnership is a core Arista value.,Partnering with the community is a fundamental Arista value.,BE
We are working to ensure that restric ted substances are not used in Nike products.,We are attempting to prevent the usage of restricted materials in Nike products.,PL
The program is intended to help communities protect residents from potential chemical hazards.,The program's goal is to assist communities in shielding their citizens from potential chemical risks.,CR
"In 2019, we recycled or refurbished more than 247 tons of electronic waste.",We recycled or repaired over 247 tons of electronic debris in 2019.,PW
Information security and privacy policies are in place and periodically reviewed.,There are established and routinely evaluated information security and privacy rules.,PL
"As a user of energy, General Mills is focused on being as efficient as we can be.",General Mills is committed to using energy as efficiently as possible.,CC
The score does not indicate the presence of controversial chemicals in the finished product.,The score does not reveal whether contentious substances are present in the final product.,PL
Consumer Privacy AT&T takes customer privacy very seriously.,Customer Privacy AT&T takes the privacy of its customers very seriously.,PL
"This is a collaborative effort between Apple, suppliers, and recycling vendors.","This is a joint undertaking between Apple, its suppliers, and recycling companies.",PW
An independent third party operates the Action Line to ensure confidentiality.,The Action Line is run by a separate third party to maintain privacy.,BE
"In 2021 , Synopsys recycled or reused 139 ,443 pounds of equipment .","Synopsys recycled or repurposed 139,443 pounds of machinery in 2021.",PW
That is why Chevron extensively discloses the nature of its political activities.,Chevron exposes the details of its political activity in great detail for this reason.,BE
Program participants have signiﬁcant upward growth potential.,Participants in the program have a great opportunity for future progress.,HC
"The trial court has scheduled the trial of the claims for indemnification to begin on April 7, 2003.","The trial of the indemnity claims has been set to begin on April 7, 2003 by the trial court.",N
All IP’s lines of printing and writing paper are 100% produced from eucalyptus certified forests.,Every printing and writing paper line offered by IP is made entirely from eucalyptus certified forests.,NC
"If we elect to increase our indebtedness, then our interest expense will increase.",Our interest expenses will rise if we decide to take on more debt.,N
Solar*Connect would make access to large-scale solar available to thousands of Colorado consumers.,Numerous Colorado consumers would have access to large-scale solar energy thanks to Solar*Connect.,CC
"Reduce water consumed per 1,000 units produced globally by 4.8 percent.","global water consumption per 1,000 units produced should be cut by 4.8%.",NC
The Compensation Committee considers the net cost to Agilent.,The net cost to Agilent is taken into account by the compensation committee.,CG
"It ’s our largest project to date, producing over 560 million kWh of clean, renewable energy a year.","With an annual output of more than 560 million kWh of pure, renewable energy, it is our greatest project to date.",CC
This saves toner and electricity while adding duplex and security functionality.,This adds duplex and security functions while using less toner and electricity.,CC
The Committee independently makes all final decisions.,All final decisions are independently made by the Committee.,CG
Key to Kimco’s success is harnessing the talents of a diverse workforce.,Harnessing the talents of a diverse workforce is essential to Kimco's success.,HC
"Excluding the acquisition of Demag, operating expense decreased by $3.0 million.",Operating expense fell by $3 million when Demag wasn't included in the calculation.,N
Drip irrigation (left) uses about 50 percent less water than conventional furrow irrigation.,About half as much water is used for drip irrigation (left) as for traditional furrow irrigation.,NC
"In 2020, we launched the CyberSmart employee security awareness and education initiative.",We started the campaign for CyberSmart employee security awareness and education in 2020.,HC
"These compostable products break down much faster than Styrofoam, leaving more room in landfills.","Compared to Styrofoam, these compostable materials decompose significantly more quickly, freeing up more space in landfills.",PW
"However, there were several important updates to privacy compliance we continued to monitor.","However, there were a number of significant modifications to privacy compliance that we kept an eye on.",BE
"Amount of material iPad Air 2 saves, by weight, compared with the first iPad.","By weight, the iPad Air 2 uses less material than the original iPad.",PW
We also look for opportunities to increase water efficiency and recycle wastewater where feasible.,We also search for chances to improve water usage and recycle wastewater when it can be done.,NC
RDS rates are lost-time incident rates for injuries only.,RDS rates are merely incidence rates for lost-time injuries.,HC
"To us, driver safety is not just about making safer vehicles.","To us, improving vehicle safety is not enough to ensure driver safety.a",PL
Ms. Gordon serves on the board of trustees of The Conference Board.,The Conference Board's board of trustees has Ms. Gordon on it.,CG
The DOT may impose civil penalties on air carriers for violations of its regulations in these areas.,"For infractions of these laws, the DOT may impose civil penalties on air carriers.",BE
This policy prohibits payment of bribes and the acceptance of inappropriate payments or gifts.,The payment of bribes and the acceptance of improper payments or gifts are prohibited by this policy.,BE
Oil production revenue after hedging increased $52.0 million in 2001 compared with 2000.,Revenue from oil output after hedging increased by $52.0 million in 2001 over 2000.,N
"Last year equipment remanufacture diverted 361,530 pounds of waste from recycling to reuse.","Remanufactured equipment diverted 361,530 pounds of garbage from recycling to reuse last year.",PW
We investigate the complaint if permitted by applicable law.,"If allowed by the relevant legal requirements, we look into the complaint.",BE
We’re always evaluating new technology and practices that can make the use of our products safer.,We are constantly assessing new techniques and technologies that could make using our products safer.,PL
